created_at,entry_id,field1,field2,field3,field4,field5,field6
20181024_154629,1,-2.604,9.768,1.723,19.17371,72.95616,10.25491926
20181024_154630,2,-1.992,10.036,1.532,19.17374,72.95613,10.34583897
20181024_154631,3,-2.834,8.81,2.796,19.17377,72.95607,9.667743894
20181024_154632,4,-1.877,8.619,4.175,19.17378,72.956,9.759145198
20181024_154633,5,-1.34,9.883,4.252,19.17381,72.95596,10.84199211
20181024_154634,6,-2.911,7.47,4.213,19.17386,72.95594,9.056720709
20181024_154635,7,-1.455,8.887,3.945,19.17389,72.95589,9.831521703
20181024_154636,8,-3.064,7.546,5.631,19.17394,72.95583,9.901432876
20181024_154637,9,-4.788,7.01,3.83,19.17398,72.95578,9.313106034
20181024_154638,10,-0.689,12.067,10.305,19.17403,72.95573,15.88333199
20181024_154639,11,-3.83,7.393,2.298,19.1741,72.95566,8.63748534
20181024_154640,12,-1.685,9.347,5.784,19.17415,72.95561,11.12026483
20181024_154641,13,-3.179,5.516,4.635,19.17417,72.95559,7.87499346
20181024_154642,14,-3.371,6.32,5.324,19.17419,72.95557,8.924741845
20181024_154643,15,-4.558,6.512,5.056,19.1742,72.95556,9.420437569
20181024_154644,16,-3.869,7.24,5.095,19.1742,72.95556,9.661562296
20181024_154645,17,-2.49,8.236,6.818,19.1742,72.95556,10.97801986
20181024_154646,18,-1.149,5.209,8.772,19.1742,72.95556,10.26654109
20181024_154647,19,-2.49,7.47,7.048,19.17422,72.95554,10.56765367
20181024_154648,20,-5.056,6.665,4.903,19.17424,72.95552,9.696637046
20181024_154649,21,-1.149,4.635,6.78,19.17425,72.9555,8.292878029
20181024_154650,22,0.268,6.818,6.742,19.17427,72.95548,9.592263132
20181024_154651,23,-0.842,7.968,7.661,19.17429,72.95545,11.08552701
20181024_154652,24,-1.915,8.504,4.06,19.17432,72.95542,9.616072015
20181024_154653,25,-1.685,5.209,6.435,19.17435,72.95538,8.448794648
20181024_154654,26,-0.229,6.818,4.213,19.17438,72.95536,8.01791332
20181024_154655,27,-0.268,6.282,5.516,19.17441,72.95532,8.364305351
20181024_154656,28,0.421,7.7,5.248,19.17448,72.95523,9.327847823
20181024_154657,29,0.804,10.726,6.397,19.17448,72.95523,12.51459552
20181024_154658,30,-0.421,9.807,5.478,19.17455,72.95514,11.24112868
20181024_154659,31,-0.536,9.117,5.516,19.17458,72.95508,10.66926619
20181024_154700,32,-0.038,8.696,7.891,19.17463,72.95503,11.74264625
20181024_154701,33,-0.306,7.7,5.861,19.17467,72.95498,9.681681517
20181024_154702,34,-1.225,7.125,8.351,19.17473,72.95493,11.04560777
20181024_154703,35,-2.413,5.707,5.631,19.17479,72.95488,8.372608853
20181024_154704,36,-1.8,4.175,8.466,19.17485,72.95484,9.60956716
20181024_154705,37,0.651,5.171,6.282,19.17489,72.95477,8.162509786
20181024_154706,38,1.302,6.167,8.466,19.17494,72.9547,10.55463164
20181024_154707,39,0.153,6.282,8.351,19.17499,72.95464,10.45113075
20181024_154708,40,0.191,4.865,9.27,19.17504,72.95458,10.47079777
20181024_154709,41,0.268,6.704,10.113,19.17508,72.95454,12.13623537
20181024_154710,42,1.072,4.903,7.47,19.17514,72.9545,8.999416259
20181024_154711,43,-0.344,2.873,9.27,19.17518,72.95445,9.711094943
20181024_154712,44,-0.306,2.758,11.032,19.17523,72.9544,11.3756417
20181024_154713,45,0.421,9.04,10.381,19.17527,72.95437,13.77185543
20181024_154714,46,1.685,4.635,7.891,19.17531,72.95433,9.305392576
20181024_154715,47,-3.064,-3.486,11.645,19.17534,72.95429,12.53580141
20181024_154716,48,-2.49,6.589,5.631,19.17536,72.95426,9.017936682
20181024_154717,49,-1.264,4.865,5.554,19.1754,72.95423,7.490850219
20181024_154718,50,-3.026,7.585,5.095,19.17543,72.95419,9.625379265
20181024_154719,51,-3.447,8.236,3.524,19.17546,72.95414,9.598545775
20181024_154720,52,-2.145,7.968,8.044,19.1755,72.9541,11.52371403
20181024_154721,53,-3.102,5.822,7.776,19.17555,72.95405,10.19726748
20181024_154722,54,-1.723,7.24,4.099,19.17558,72.95399,8.496359809
20181024_154723,55,-1.8,7.316,6.512,19.17562,72.95395,9.958413528
20181024_154724,56,-2.643,9.538,3.945,19.17567,72.95389,10.65466649
20181024_154725,57,-3.409,8.389,5.516,19.17571,72.95384,10.60296459
20181024_154726,58,-1.608,8.121,4.328,19.17577,72.9538,9.341728373
20181024_154727,59,-1.455,7.585,4.558,19.17583,72.95375,8.967977141
20181024_154728,60,-2.26,9.347,3.639,19.1759,72.95369,10.28184468
20181024_154729,61,-0.536,7.853,4.405,19.17596,72.95365,9.020029379
20181024_154730,62,-1.8,7.431,4.367,19.17601,72.9536,8.805137705
20181024_154731,63,-1.072,8.389,5.861,19.17607,72.95356,10.28959795
20181024_154732,64,-0.498,7.202,5.209,19.17613,72.95351,8.902274372
20181024_154733,65,-1.455,7.24,3.332,19.17617,72.95343,8.101657176
20181024_154734,66,-1.608,9.155,3.715,19.17621,72.95335,10.01004066
20181024_154735,67,0.383,10.228,4.099,19.17626,72.95328,11.02544666
20181024_154736,68,-1.149,8.121,3.217,19.17631,72.95321,8.810217421
20181024_154737,69,-1.57,6.32,3.792,19.17636,72.95314,7.535686034
20181024_154738,70,-0.344,8.542,3.945,19.17641,72.95308,9.415260219
20181024_154739,71,-0.306,8.389,6.589,19.17645,72.95301,10.67163896
20181024_154740,72,-0.574,8.006,4.328,19.1765,72.95295,9.119051266
20181024_154741,73,-0.536,7.623,6.167,19.17654,72.95292,9.81984287
20181024_154742,74,-1.34,8.312,3.217,19.17658,72.95288,9.012992455
20181024_154743,75,-2.873,9.768,2.796,19.17661,72.95284,10.55867269
20181024_154744,76,0.804,8.619,8.925,19.17664,72.9528,12.43339061
20181024_154745,77,0.612,7.163,5.095,19.17668,72.95275,8.811477629
